,image,mask
0,archive/Forest Segmented/Forest Segmented/images/10452_sat_08.jpg,archive/Forest Segmented/Forest Segmented/mask/10452_mask_08.jpg
1,archive/Forest Segmented/Forest Segmented/images/10452_sat_18.jpg,archive/Forest Segmented/Forest Segmented/mask/10452_mask_18.jpg
2,archive/Forest Segmented/Forest Segmented/images/111335_sat_00.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_00.jpg
3,archive/Forest Segmented/Forest Segmented/images/111335_sat_01.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_01.jpg
4,archive/Forest Segmented/Forest Segmented/images/111335_sat_02.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_02.jpg
5,archive/Forest Segmented/Forest Segmented/images/111335_sat_03.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_03.jpg
6,archive/Forest Segmented/Forest Segmented/images/111335_sat_04.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_04.jpg
7,archive/Forest Segmented/Forest Segmented/images/111335_sat_07.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_07.jpg
8,archive/Forest Segmented/Forest Segmented/images/111335_sat_08.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_08.jpg
9,archive/Forest Segmented/Forest Segmented/images/111335_sat_10.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_10.jpg
10,archive/Forest Segmented/Forest Segmented/images/111335_sat_12.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_12.jpg
11,archive/Forest Segmented/Forest Segmented/images/111335_sat_13.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_13.jpg
12,archive/Forest Segmented/Forest Segmented/images/111335_sat_15.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_15.jpg
13,archive/Forest Segmented/Forest Segmented/images/111335_sat_23.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_23.jpg
14,archive/Forest Segmented/Forest Segmented/images/111335_sat_24.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_24.jpg
15,archive/Forest Segmented/Forest Segmented/images/111335_sat_25.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_25.jpg
16,archive/Forest Segmented/Forest Segmented/images/111335_sat_26.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_26.jpg
17,archive/Forest Segmented/Forest Segmented/images/111335_sat_27.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_27.jpg
18,archive/Forest Segmented/Forest Segmented/images/111335_sat_35.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_35.jpg
19,archive/Forest Segmented/Forest Segmented/images/111335_sat_36.jpg,archive/Forest Segmented/Forest Segmented/mask/111335_mask_36.jpg
