,image,mask
1858,archive/Forest Segmented/Forest Segmented/images/866782_sat_02.jpg,archive/Forest Segmented/Forest Segmented/masks/740937_mask_18.jpg
494,archive/Forest Segmented/Forest Segmented/images/291214_sat_56.jpg,archive/Forest Segmented/Forest Segmented/masks/961407_mask_78.jpg
4402,archive/Forest Segmented/Forest Segmented/images/417313_sat_41.jpg,archive/Forest Segmented/Forest Segmented/masks/170535_mask_17.jpg
2288,archive/Forest Segmented/Forest Segmented/images/713813_sat_34.jpg,archive/Forest Segmented/Forest Segmented/masks/334677_mask_08.jpg
1362,archive/Forest Segmented/Forest Segmented/images/400179_sat_34.jpg,archive/Forest Segmented/Forest Segmented/masks/27460_mask_48.jpg
1164,archive/Forest Segmented/Forest Segmented/images/170535_sat_78.jpg,archive/Forest Segmented/Forest Segmented/masks/242583_mask_33.jpg
3996,archive/Forest Segmented/Forest Segmented/images/361129_sat_57.jpg,archive/Forest Segmented/Forest Segmented/masks/277994_mask_44.jpg
1270,archive/Forest Segmented/Forest Segmented/images/961407_sat_05.jpg,archive/Forest Segmented/Forest Segmented/masks/417313_mask_53.jpg
1864,archive/Forest Segmented/Forest Segmented/images/3484_sat_84.jpg,archive/Forest Segmented/Forest Segmented/masks/605764_mask_44.jpg
1609,archive/Forest Segmented/Forest Segmented/images/906113_sat_25.jpg,archive/Forest Segmented/Forest Segmented/masks/524518_mask_58.jpg
2277,archive/Forest Segmented/Forest Segmented/images/570332_sat_07.jpg,archive/Forest Segmented/Forest Segmented/masks/334677_mask_20.jpg
4230,archive/Forest Segmented/Forest Segmented/images/524056_sat_30.jpg,archive/Forest Segmented/Forest Segmented/masks/340898_mask_57.jpg
618,archive/Forest Segmented/Forest Segmented/images/634717_sat_56.jpg,archive/Forest Segmented/Forest Segmented/masks/866782_mask_58.jpg
2059,archive/Forest Segmented/Forest Segmented/images/291214_sat_18.jpg,archive/Forest Segmented/Forest Segmented/masks/652883_mask_44.jpg
3631,archive/Forest Segmented/Forest Segmented/images/208695_sat_82.jpg,archive/Forest Segmented/Forest Segmented/masks/668465_mask_24.jpg
1912,archive/Forest Segmented/Forest Segmented/images/242583_sat_34.jpg,archive/Forest Segmented/Forest Segmented/masks/296279_mask_35.jpg
2372,archive/Forest Segmented/Forest Segmented/images/340898_sat_65.jpg,archive/Forest Segmented/Forest Segmented/masks/226788_mask_50.jpg
1632,archive/Forest Segmented/Forest Segmented/images/855_sat_32.jpg,archive/Forest Segmented/Forest Segmented/masks/400179_mask_11.jpg
3203,archive/Forest Segmented/Forest Segmented/images/152569_sat_03.jpg,archive/Forest Segmented/Forest Segmented/masks/34359_mask_77.jpg
3573,archive/Forest Segmented/Forest Segmented/images/331533_sat_57.jpg,archive/Forest Segmented/Forest Segmented/masks/176225_mask_77.jpg
869,archive/Forest Segmented/Forest Segmented/images/111335_sat_61.jpg,archive/Forest Segmented/Forest Segmented/masks/255876_mask_64.jpg
2846,archive/Forest Segmented/Forest Segmented/images/499418_sat_72.jpg,archive/Forest Segmented/Forest Segmented/masks/148381_mask_32.jpg
1042,archive/Forest Segmented/Forest Segmented/images/651312_sat_68.jpg,archive/Forest Segmented/Forest Segmented/masks/897901_mask_18.jpg
3603,archive/Forest Segmented/Forest Segmented/images/774779_sat_78.jpg,archive/Forest Segmented/Forest Segmented/masks/296279_mask_13.jpg
356,archive/Forest Segmented/Forest Segmented/images/906113_sat_46.jpg,archive/Forest Segmented/Forest Segmented/masks/650253_mask_78.jpg
1162,archive/Forest Segmented/Forest Segmented/images/27460_sat_02.jpg,archive/Forest Segmented/Forest Segmented/masks/877160_mask_53.jpg
4287,archive/Forest Segmented/Forest Segmented/images/888343_sat_84.jpg,archive/Forest Segmented/Forest Segmented/masks/868003_mask_40.jpg
1491,archive/Forest Segmented/Forest Segmented/images/392711_sat_74.jpg,archive/Forest Segmented/Forest Segmented/masks/277994_mask_07.jpg
3166,archive/Forest Segmented/Forest Segmented/images/634717_sat_38.jpg,archive/Forest Segmented/Forest Segmented/masks/534154_mask_10.jpg
1670,archive/Forest Segmented/Forest Segmented/images/899693_sat_40.jpg,archive/Forest Segmented/Forest Segmented/masks/518833_mask_25.jpg
2313,archive/Forest Segmented/Forest Segmented/images/119079_sat_60.jpg,archive/Forest Segmented/Forest Segmented/masks/715846_mask_16.jpg
4102,archive/Forest Segmented/Forest Segmented/images/3484_sat_02.jpg,archive/Forest Segmented/Forest Segmented/masks/170535_mask_14.jpg
3715,archive/Forest Segmented/Forest Segmented/images/739760_sat_43.jpg,archive/Forest Segmented/Forest Segmented/masks/457982_mask_22.jpg
3815,archive/Forest Segmented/Forest Segmented/images/524518_sat_01.jpg,archive/Forest Segmented/Forest Segmented/masks/679507_mask_78.jpg
4040,archive/Forest Segmented/Forest Segmented/images/875328_sat_72.jpg,archive/Forest Segmented/Forest Segmented/masks/210473_mask_27.jpg
2986,archive/Forest Segmented/Forest Segmented/images/533952_sat_82.jpg,archive/Forest Segmented/Forest Segmented/masks/182422_mask_14.jpg
332,archive/Forest Segmented/Forest Segmented/images/524518_sat_87.jpg,archive/Forest Segmented/Forest Segmented/masks/15573_mask_67.jpg
1397,archive/Forest Segmented/Forest Segmented/images/226788_sat_26.jpg,archive/Forest Segmented/Forest Segmented/masks/939614_mask_81.jpg
4863,archive/Forest Segmented/Forest Segmented/images/830444_sat_15.jpg,archive/Forest Segmented/Forest Segmented/masks/226788_mask_06.jpg
4323,archive/Forest Segmented/Forest Segmented/images/533952_sat_23.jpg,archive/Forest Segmented/Forest Segmented/masks/352808_mask_13.jpg
1258,archive/Forest Segmented/Forest Segmented/images/880610_sat_46.jpg,archive/Forest Segmented/Forest Segmented/masks/340898_mask_65.jpg
3844,archive/Forest Segmented/Forest Segmented/images/810749_sat_55.jpg,archive/Forest Segmented/Forest Segmented/masks/176225_mask_62.jpg
5084,archive/Forest Segmented/Forest Segmented/images/454655_sat_64.jpg,archive/Forest Segmented/Forest Segmented/masks/162310_mask_12.jpg
1116,archive/Forest Segmented/Forest Segmented/images/624916_sat_57.jpg,archive/Forest Segmented/Forest Segmented/masks/255876_mask_66.jpg
1995,archive/Forest Segmented/Forest Segmented/images/626208_sat_02.jpg,archive/Forest Segmented/Forest Segmented/masks/624916_mask_37.jpg
4890,archive/Forest Segmented/Forest Segmented/images/628479_sat_42.jpg,archive/Forest Segmented/Forest Segmented/masks/952430_mask_83.jpg
2634,archive/Forest Segmented/Forest Segmented/images/72807_sat_77.jpg,archive/Forest Segmented/Forest Segmented/masks/417313_mask_15.jpg
2581,archive/Forest Segmented/Forest Segmented/images/897901_sat_31.jpg,archive/Forest Segmented/Forest Segmented/masks/876248_mask_47.jpg
3424,archive/Forest Segmented/Forest Segmented/images/122104_sat_54.jpg,archive/Forest Segmented/Forest Segmented/masks/277994_mask_08.jpg
4647,archive/Forest Segmented/Forest Segmented/images/533952_sat_26.jpg,archive/Forest Segmented/Forest Segmented/masks/352808_mask_03.jpg
445,archive/Forest Segmented/Forest Segmented/images/202277_sat_13.jpg,archive/Forest Segmented/Forest Segmented/masks/7906_mask_77.jpg
4722,archive/Forest Segmented/Forest Segmented/images/296279_sat_17.jpg,archive/Forest Segmented/Forest Segmented/masks/866782_mask_83.jpg
2118,archive/Forest Segmented/Forest Segmented/images/296279_sat_55.jpg,archive/Forest Segmented/Forest Segmented/masks/96870_mask_88.jpg
452,archive/Forest Segmented/Forest Segmented/images/226788_sat_84.jpg,archive/Forest Segmented/Forest Segmented/masks/525105_mask_47.jpg
4582,archive/Forest Segmented/Forest Segmented/images/210473_sat_42.jpg,archive/Forest Segmented/Forest Segmented/masks/691384_mask_46.jpg
4532,archive/Forest Segmented/Forest Segmented/images/736869_sat_60.jpg,archive/Forest Segmented/Forest Segmented/masks/340898_mask_85.jpg
3100,archive/Forest Segmented/Forest Segmented/images/838669_sat_18.jpg,archive/Forest Segmented/Forest Segmented/masks/392711_mask_66.jpg
